SG_UF;CO_ENTIDADE;IN_AGUA_POTAVEL;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;IN_REFEITORIO;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_UTILIZADAS;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_SALA_DIRETORIA;IN_SECRETARIA;IN_SALA_MULTIUSO;IN_SALA_LEITURA;IN_ALIMENTACAO;IN_INTERNET;IN_INTERNET_ALUNOS;MEDIA_INFRAESTRUTURA
SC;42163030;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;13.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;87.5
SC;42035805;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;13.0;19.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;87.5
SC;42147581;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;37.5
SC;42152640;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;13.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;81.25
SC;42147352;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;8.0;16.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;75.0
RS;43176380;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
RS;43077218;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;18.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
RS;43207995;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
RS;43178294;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;22.0;22.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;81.25
RS;43117538;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;62.5
RS;43182143;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;9.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;75.0
MS;50034600;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;43.75
MS;50034812;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
MS;50011316;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;12.0;18.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;68.75
MS;50019309;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;9.0;9.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
MS;50024337;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;81.25
MS;50023390;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;15.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
MT;51069229;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;43.75
MT;51067986;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;22.0;28.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
MT;51061716;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;62.5
MT;51067390;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;68.75
MT;51089874;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;6.0;12.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
MT;51071789;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;7.0;7.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
GO;52077942;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;10.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;62.5
GO;52096424;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;9.0;9.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
GO;52106837;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;13.0;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
GO;52103552;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;37.5
GO;52096688;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;7.0;10.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;87.5
GO;52049809;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;10.0;10.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;56.25
DF;53005392;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;7.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;75.0
DF;53008979;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;22.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;81.25
DF;53009380;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;12.0;12.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;68.75
DF;53018877;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;7.0;10.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;81.25
DF;53035003;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;8.0;8.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;75.0
DF;53045009;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;37.0;37.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
