uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11006161,EIEEF JOAO FARIAS DE BARROS,Pública,0,,3.4,
RO,11006170,EIEEF JOAO FRANCISCO ARUAK,Pública,0,,0,
RO,11006234,EIEEF JOSIAS BATISTA DE OLIVEIRA,Pública,9.1,,1.5,
RO,11006293,EIEEF MARECHAL RONDON,Pública,8.6,0,0,14.3
RO,11006358,EEEF PAUL HARRIS,Pública,0,,0,
RO,11006366,EIEEF PAULO SALDANHA SOBRINHO,Pública,1.1,,3.4,
RO,11006390,EIEEF PEDRO AZZI,Pública,0,,0,
RO,11006412,EIEEF POSCIDONIO BASTOS,Pública,0,,2.8,
RO,11006420,EEEF PRESIDENTE EURICO GASPAR DUTRA,Pública,0,5,0,0
RO,11006498,EMEIEF PROFESSOR SALOMAO SILVA,Pública,0.7,,0.5,
RO,11006528,EMEIEF SAO JUDAS TADEU,Pública,1.3,,0,
RO,11006536,EMEIEF SAUL BENNESBY,Pública,1.7,,0.5,
RO,11006579,EIEEF TENENTE LIRA,Pública,9.1,,1.1,
RO,11006595,ESCOLA TOUFIA TANOUS BOUCHABKI,Privada,1.1,0,0,0
RO,11006617,EEEFM IRMA MARIA CELESTE - CIVICO-MILITAR,Pública,0.1,1.6,0,0
RO,11006633,EEEFM ROCHA LEAL,Pública,,22.7,,0.5
RO,11006641,EEEMTI SIMON BOLIVAR,Pública,,1.3,,0
RO,11006684,INSTITUTO ESTADUAL DE EDUCACAO PAULO SALDANHA,Pública,0,,0,
RO,11006692,EMEIEF PROFESSORA ADMA LEAL,Pública,0,,0,
RO,11041846,EIEEF MANUM ORO EO,Pública,6.5,,3.2,
